description,direccion,fot,irregular,medidas,esquina,barrio,frentes,pileta,urb_cerrada,posesion,urb_semicerrada,preventa,indiviso,a_demoler,es_multioferta,es_monetizable,loteo_ph
"En una zona de gran crecimiento comercial y urbanístico de la ciudad de Mar del Plata. Allí se encuentra ubicada esta importante porción de tierra sin lotear, donde tenemos varios e importantes emprendimientos comerciales como el Shoping Florida , un gran supermercado, estaciones de servicio, etc. Por sus medidas puede utilizarse para varios destinos, incluso para el desarrollo de un barrio privado. Se convierte en una inversión interesante . Muy cerca de la Avenida Constitucion que en los últimos año se ha reconvertido en una avenida comercial con variedad de comercios gastronómicos. La información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste.",,,,,,,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"EXCEPCIONAL GARAGE FUNCIONANDO CON ESPACIO AEREO APROBADO Inigualable oportunidad de inversion comercial y constructiva en este impecable garage estrategicamente ubicado en el macrocentro marplatense. Construida sobre un lote de 17.30 x 43.30 mts, lo que le da una superficie de 749 m2, con una superficie cubierta de 1.875 m2 y una descubierta de 375 m2 y posibilidad de construir en espacio aereo 9 pisos con un total de 3400 m2, indistintamente para viviendas familiares u oficinas. El garage cuenta con oficinas, sector atencion publico y clientes, baño y antebaño. Posee sistema de camaras de seguridad (10) con monitor de control y grabacion 24 hs. Posee cocheras cubiertas y descubiertas, con clientes mensualizados y un muy buen flujo de clientes por hora, dia (cercania a las principales clinicas y consultorios medicos) yestadias cortas. Con respecto a la proyeccion para construir en altura, la estructura, bases y tensores estan preparados para soportar el edificio proyectado, con construccion de huecos de ascensores y escalera de emergencia, que cubren el trayecto desde planta baja hasta el segundo subsuelo. Se ha previsto un espacio preparado para que a futuro se convierta en el hall de entrada al edificio, de manera tal que dicha entrada quede independiente del funcionamiento de la cochera que a su vez y como ya se detallo estaria conectada por escalera y ascensores. Posee su estructura de columnas, vigas y losas hechas en hormigon armado, mamposteria en ladrillos huecos, revocados en grueso y fratachados. Su terraza es de hormigon, con contrapiso y membrana transitable. La totalidad de los hierros para continuacion de las columnas estan debidamente protegidos con mangueras y cemento colado para evitar la corrosion de los mismos. Contamos con imagenes que grafican el desarrollo de la obra desde su comienzo como asimismo la informacion de todos y cada uno de los profesionales y proveedores que realizaron la obra en su totalidad.",,,,17.30 x 43.30,,sector atencion publico,,,,,,,,,,True,
ZONA GUEMES COMERCIAL LOCAL EN VENTA CON RENTA FRENTE A LA PLAZA DEL AGUA SOBRE CALLE GENERAL ROCA EXCELENTE OPORTUNIDAD DE INVERSION VENDEMOS ESTE EXCELENTE LOCAL DESARROLLADO EN DOS NIVELES CON PLANTA BAJA DE 48 m2 CUBIERTOS Y PATIO DE 20 m2 Y PLANTA ALTA DE 20M2 CON BAÑO Y ANTEBAÑO. EN LA MEJOR CUADRA DE GRAN CRECIMIENTO EN VEREDA DE SOL Y APTO PARA GASTRONOMIA.POSIBILIDAD DE FINANCIACION. CONSULTENOS.,,,,,,,,,,,,,,,,True,
Terreno en COLONIA CHAPALMALde 14.5 x 40 mts en muy buena hubicacion con escritura y impuestos al dia EL PRECIO ES EN DOLARES . SU CONSULTA NO MOLESTA SOY EL TITULAR,,,,14.5 x 40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"EXCELENTE LOTE DE 720 M² | BARRIO EL SOSIEGO VENTA DE CASA QUINTA | LOTES POR SEPARADO Excelente lote en barrio El Sosiego, Mar del Plata, con frente a calle Los Plátanos, entre calles Los Nogales y Los Álamos. Fácil y rápido acceso desde Autovía 2, 250 metros por calle mejorada, y a solo ocho minutos de Mar del Plata. Servicios: recolección de residuos, luz, agua de pozo (bomba de agua), gas con garrafa (existe red de gas natural), excepto cloaca, teléfono, Wifi internet. Colectivo a la ciudad Línea 542, con parada a 250 mts. sobre la ruta. Transporte Escolar. POSIBILIDAD DE ADICIONAR LOTES LINDEROS. DUQUE WILLIAMS PROPIEDADES Registro 3814 Playa Grande, Mar del Plata",,,,,,BARRIO EL SOSIEGO VENTA DE CASA QUINTA,,,,,,,,,,True,
"2 Lotes en venta en zona Rio Negro y Remedios de Escalada, a pasos de la Ruta 2. Venta en block o separados. Lote 1: 16 m de frente x 43.30 m de fondo. U$s 39.000. Lote 2: 27.30 m x 27.30 m. U$s 50.000. ",Lote 1;Lote 2,,,27.30 x 27.30;16 x 43.30,,,,,,,,,,,True,,
Mts2 Cubiertos 1350 aprox.,,,,,,,,,,,,,,,,,
"LOCAL CON OFICINAS | DEPÓSITO CON ENTRADA DE VEHÍCULOS | LOTE 750 M Superficie Lote 750 m². Frente de 17.32 mts. Fondo de 43.30 mts. Superficie construida aproximada 440 m. Distrito R6. DUQUE WILLIAMS PROPIEDADES Playa Grande, Mar del Plata 223 571 5050 www.duquewilliams.com",LOTE 750;Lote 750,,,,,,,,,,,,,,,True,
"LOCAL CON OFICINAS | DEPÓSITO CON ENTRADA DE VEHÍCULOS | LOTE 750 M Superficie Lote 750 m². Frente de 17.32 mts. Fondo de 43.30 mts. Superficie construida aproximada 440 m. Distrito R6. DUQUE WILLIAMS PROPIEDADES Playa Grande, Mar del Plata 223 571 5050 www.duquewilliams.com",LOTE 750;Lote 750,,,,,,,,,,,,,,,True,
"SOBRE LA Av. JUAN B JUSTO CASI OLAVARRIA DE NUESTRA CIUDAD, SE ENCUENTRA ESTA FERRETERIA CON MÁS DE 30 AÑOS DE TRAYECTORIA. SE ESPECIALIZA EN CERRAJERÍA DE VIVIENDA Y COMERCIO, ARTICULOS DE PINTURERIA, CONSTRUCCIÓN, PLOMERÍA, GAS NATURAL, ELECTRICIDAD Y AFINES. IMPORTANTE CLIENTELA Y STOCK DE MERCADERÍA. CARTERA DE PROVEEDORES ACTIVA CON CRÉDITO COMERCIAL. SE ENTREGA TAL CUAL SE VE EN LAS IMÁGENES CON TODA LA MERCADERÍA A PUERTAS CERRADAS. SIN PERSONAL, NI DEUDAS DE NINGÚN TIPO. EXCELENTE CAJA COMPROBABLE !! BAJO VALOR DEL ALQUILER DEL INMUEBLE, Y SIN EXPENSAS. CONSULTENOS !!",,,,,,,,,,,,,,,,True,
"VENTA DE LOTE EN ""BARRIO EL MARQUESADO"" TU PROXIMA VIVNEDA O LUGAR DE DESCANSO ESTA EN ESTE LUGAR! VENTA DE LOTE DE 15 MTROS DE FRENTE POR 30 MTROS DE FONDO! URBANIZACION EN LA ZONA! CALLE ABIERTA A 15 CUADRAS DE LA RUTA Y ACCESO A LA PLAYA! LISTO PARA ESCRITURAR!",,,,,,,,,,,,,,,,,
"LOTE AL SUR DE MAR DEL PLATA ZONA COLONIA DE CHAPADMALAL ( ALTURA COMPLEJO DE HOTELES ), PEGADO AL BARRIO SANTA ISABEL. ES UNA ZONA QUE SE ESTA DESARROLLANDO MUCHO EN EL ULTIMO TIEMPO ES UN LOTE EN ESQUINA DE CALLE 26 Y 807. A 8/ 9 CUADRAS DE LA COSTA. SERVICIOS: LUZ Y EL GAS ES ENVASADO. ESCUCHA OFERTA. ",CALLE 26 Y 807,,,,True,,,,,,,,,,,,
"Exelente terreno a 12 cuadras del mar en las playas del sur , a cuadras de av Jorge Newbery, 378 mt cuadrados con arbolado perimetral, super lindo VENDO / PERMUTO",,,,,,,,,,,,,,,,,
"Gran oportunidad! Dos cocheras fijas pegadas, el valor es por cada una.En pleno centro de Mar del Plata Salta entre Rivadavia y Belgrano Escriturada, sin deuda.TSU/ARM paga $800 No paga luz, ni osse. En planta baja de fácil acceso. Portón recientemente remodelado, a futuro colocarán portón automatizado. Fondo reunido por administración para comenzar a pintar el predio y los espacios comunes.",Mar del Plata Salta entre Rivadavia y Belgrano Escriturada,,,,,,,,,,,,,,,True,
COCHERA UBICACIÓN: Entre Ríos y Belgrano BARRIO: Centro DESCRIPCION: PLENO CENTRO UBICACION INMEJORABLE ESPACIO DE COCHERA BAJAS EXPENSAS. A UNA CUADRA DE LA PEATONAL Y A UNA DEL MAR. Aviso publicado a través de Pixel Inmobiliario (Servicios de páginas web para inmobiliarias ). #1047,,,,,,,,,,,,,,,,True,
"OPORTUNIDAD Venta de Lote en Playa Serena, Mar del Plata LOTE AMPLIO EN VENTA, ZONA AQUOPOLIS 23 METROS DE FRENTE, POR 31 METROS DE FONDO, A METROS DE LA AVENIDA JORGE NEWBERY. 713 METROS TOTALES XINTEL(CRP CRP 2002)",,,,,,,,,,,,,,,,,
En el tranquilo barrio de Santa Isabel se encuentra este lote de generosas dimensiones a ocho cuadras de la costa. Se encuentra rodeado de un entorno tranquilo mayormente conformado por espacios verdes. Cuenta con un total de 450 metros cuadrados. NO DUDES EN CONSULTAR! Aviso publicado a través de Pixel Inmobiliario (Servicios de páginas web para inmobiliarias ).,,,,,,,,,,,,,,,,,
"Cochera de 13 mts (2.50 x 5.50), 2° subsuelo por montacargas. Expensas bimestrales $1.400. Inmejorable ubicacion. Brown y Tucuman.",,,,,,,,,,,,,,,,True,
Lotes en el Marquesado 15 x 25 Mts 4 LOTES EN EL MARQUESADO: 2 lotes N° 10 y 11 de la manzana 238 (calle 9 e/ 6 y 12).. ......................... U$S 9.000. c/u.. CON ESCRITURA !!!,calle 9 e/ 6 y 12,,,15 x 25,,,,,,,,,,,True,,
Venta Cochera por ascensor amplia,,,,,,,,,,,,,,,,True,
Lote en Barrio EL MARQUESADO con ESCRITURA DE 375 mts2 ubicado en calle 5 entre calle 6 y 12 de 15 mts de frente x 25 mts de fondo a 400 mts de la Ruta 11 y a 10 minutos de la Ciudad de MIRAMAR,calle 5 entre calle 6 y 12,,,15 x 25,,,,,,,,,,,,,
"[RETASADO] oportunidad!!! lote de 10 metros de frente por 21 metros de fondo playa serena. escucha propuesta!!.. acepta permuta! muy buen entorno!!. ideal para inversión. sobre la calle principal, a 3 cuadras de la plaza principal.\n\nAPTO CREDITO BANCARIO",,,,10 x 21,,,,,,,,,,True,,,
"EN LA APRECIADA ZONA DE COLINAS DE PERALTA RAMOS OFRECEMOS: VENTA EN BLOCK: LOCAL + CHALET + LOTE EXCELENTE INVERSIÓN PARA VIVIENDA Y/O USO COMERCIAL EN RUBROS COMO GASTRONOMIA, CENTRO EDUCATIVO, SALUD, GERIATRICO, CENTRO DE DIA, CONSULTORIOS y MUCHOS MAS !!!! Importante propiedad en esquina sobre 3 lotes, con un total de 800 m2, de los cuales son 500 m2 cubiertos y 300 m2 parquizados. PB: LOCAL 140M2 con 3 entradas, garage quincho (3) y lote de 10 x 29 mts PA: Chalet 5 ambientes con gran living comedor principal de 7 x 4.5 mts, cÃmoda cocina comedor de 7 x 4.3 mts, 4 habitaciones con placard, 2 baños completos y compartimentados, lavadero de 3 x 3.50 mts, terraza de 25 m2, balcÃn saliente y corrido en todo el perimetro. Calefacción central por radiadores. Excelente calidad de construcción, impecable estado!! Todos los ambientes externos!! Todo el sol!! CONSULTE SU VALOR TALIERCIO ASOC. Negocios Inmobiliarios. Rawson N 1369 Mar del Plata | Buenos Aires | Argentina (0223) 486 4686 | (223) 155 412120 normataliercio@gmail.com www.taliercioprop.com",,,,10 x 29,True,,,,,,,,,,True,True,
"Cochera cubierta, fija, ubicada en Rioja y Bolivar. Las medidas y superficies publicadas son aproximadas y al solo efecto orientativo. Los valores pueden ser modificados sin previo aviso. Las imágenes publicadas son ilustrativas y no contractuales. MCA",,,,,,,,,,,,,,,,True,
"Hermoso terreno en barrio Parque Peña, a tres cuadras de zona comercial y asfalto, cuenta con con 10 metros de frente por 38.7 m de fondo, bien nivelado, con servicio de luz, buen entorno. Aviso publicado a través de Pixel Inmobiliario (Servicios de páginas web para inmobiliarias ).",,,,10 x 38.7,,barrio Parque Peña,,,,,,,,,,True,
LOTE DE 15 x 30,,,,15 x 30,,,,,,,,,,,,,
"Se vende OPORTUNIDAD!!! Una cochera comoda, en excelente lugar , en el corazón de La Perla .",,,,,,,,,,,,,,,,True,
San Eduardo de Chapadmalal Lote 15 x 30 Calle 829 y 42 Consulta,Calle 829 y 42,,,15 x 30,,,,,,,,,,,,,
LOTE EN BARRIO PARQUE PEÑA. LOTE DE 10 x 17.50 BORMIDA ENTRE LOS TALAS Y LOS NARANJOS. ZONA POBLADA. SOLO CUENTA CON SERVICIO DE LUZ. LINEA DE COLECTIVO POR LA RUTA 11. A 4 DEL MAR!! Aviso publicado a través de Pixel Inmobiliario (Servicios de páginas web para inmobiliarias ).,,,,10 x 17.50,,,,,,,,,,,,,
"Venta de Lote Barrio La Trinidad Mar del Plata En el Barrio Trinidad nos encontramos con este terreno de generosas dimensiones, contando con una superficie total de 570 m2, de forma rectangular que aproximadamente mide 15 metros con frente a la hoy Av. 6 (ex calle 18), en su orientación Sud Este por 38 metros de Fondo, en su orientación, Sud Oeste. El barrio se encuentra por Ruta 2 a 8 minutos de la entrada de Mar del Plata. El entorno que nos ofrece es tranquilo y campestre; el cual nos brinda la posibilidad de estar en pocos minutos en la ciudad y para luego volver a disfrutar el entorno que solo La Trinidad nos puede ofrecer. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte de los corredores públicos inmobiliarios colegiados, cuyos datos se exhiben en cada publicación de propiedad objeto de comercialización. ALEJANDRO JUSTO Martillero y Corredor Público REG. 3885 YESICA SOSA Martillera y Corredora Pública REG. 3886 JUSTOSOSA Propiedades. En cumplimiento de las leyes vigentes que regulan el corretaje inmobiliario, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes/gestores NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte de los corredores públicos inmobiliarios colegiados, cuyos datos se exhiben en cada publicación de propiedad objeto de comercialización. #1135",,,,,,Barrio La Trinidad Mar del Plata En el Barrio Trinidad,,,,,,,,,,,
" Terreno en venta ubicado en calle Grecia y Cornelio Saavedra (Mar del Plata, Buenos Aires) Con disposición frente y orientación al sudeste. De medidas irregulares y en condición de esquina, cuenta con una superficie total aproximada de 221 mts2. Acceso por calle de tierra mejorada y con los servicios de electricidad, agua corriente y gas natural disponibles en el lugar. Estudio Yacoub Tasaciones profesionales para conocer el valor real de tu inmueble. La información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste.",calle Grecia y Cornelio Saavedra,,True,,True,,,,,,,,,,,,
"Lote de TERRENO con ESCRITURA en barrio EL MARQUESADO a 10 minutos de la Ciudad de MIRAMAR cada lote tiene una medida de 15 de frente x 25 de fondo TOTAL 375 mts2,",,,,15 x 25,,,,,,,,,,,,,
"Century 21 Recanatti se complace en comercializar este lote terreno, ubicado al Sur de la ciudad de Mar del Plata, en el creciente barrio Playa los Lobos, este terreno de 472 m², de 15 mts de frente por 31 mts de fondo. El lote se encuentra en la calle Las Ostras entre Los Salmones y Los Nautilus, a 7 cuadras de la ruta 11, y de las Playas del sur de la ciudad. Un lugar para vivir rodeado de naturaleza. Es el lote N°2, consultar por venta en conjunto con lote N°17 XINTEL(C21 005 26702)",lote N°,,,15 x 31,,barrio Playa los Lobos,,,,,,,,,,,
EDIFICIO NAMUNCURA UBICADO EN BOLIVAR Y SANTIAGO DEL ESTERO. ACCESO POR AMPLIA RAMPA. DOS ASENSORES PARA PEATONES. SEGURIDAD 24HS. CAMARAS DE VIGILANCIA. OPORTUNIDAD COCHERA 808 u$s10.000 (boleto y poder) COCHERA 519 u$s 17.000 COCHERA 520 u$s 17.000 Escribanía designada Vaquero. CONSULTANOS ! Expensas: 0,,,,,,,,,,,,,,,,True,
"Muy buena inversión para desarrollo de viviendas. A sólo 1.500 metros de la Avenida Monsenior Sabala (continuación de Champagnat); se encuentra esta fracción de 15.299 m2, ideal para desarrollo de viviendas. Aceptamos valores en parte de pago. Disponibles Manzana 23 lote 7 Metros 331.99 anticipo usd 10.000 y 40 cuotas de usd 200",Manzana 23 lote 7,,,,,,,,,,,,,True,,,
"En el centro de la ciudad, dentro del edificio Cocheras Namuncura, sito en Bolivar entre Santa Fe y Santiago del Estero, vendemos esta cochera fija y cubierta ubicada en el 9no piso. Expensas Marzo/23 $ 6.000. aprox. Escriturada y con orden de venta. Consultenos.",Bolivar entre Santa Fe y Santiago del Estero,,,,,,,,,,,,,,,True,
"Lote en Barrio El Marquesado: Lote de 15 mts de frente por 30 mts de fondo, manzana 387, Terreno sobre asfalto, ubicado a 7 cuadras de la ruta 11 (interbalnearia), a 24 km de Mar del Plata, a 8 km de Miramar y a 8 km del complejo hotelero Chapadmalal. Terreno escriturado. Consulte sin compromiso por Whatsapp.",,,,15 x 30,,Barrio El Marquesado,,,,,,,,,,,
"Century21 Recanatti ofrece a la venta un lote cercado ubicado en zona elevada, con bomba de agua, pilar de luz y a 100 mtrs de acceso a gas natural. Zona en constante crecimiento, muy tranquilo, posee líneas de colectivo en la esquina. No deje de consultarnos XINTEL(C21 005 28283)",,,,,True,,,,,,,,,,,True,
"Sobre asfalto, sobre calle Nahuel Huapi esquina Santa Elena, listo para construir, impuestos al día, muy buen entorno, barrio residencial, excelente precio, ESCRITURA Y POSESION INMEDIATA.",calle Nahuel Huapi esquina Santa Elena,,,,True,,,,,,,,,,,,
"Terreno en el Barrio Félix U. Camet . Superficie total 420 mts2 . Distribuido en 12 mts de frente por 35 mts de fondo. Ubicado en la calle Isla Coronación (ex 16) al 1200 entre Volcán Copahue (ex 25) y Cerro Fátima (ex 27). A 12 cuadras del mar Una zona en crecimiento, con habitantes permanentes. Servicios de luz y cloacas. Con escritura e impuestos al día. Se escuchan ofertas. La información gráfica y escrita contenida en el presente aviso es meramente a título estimativo y no forma parte de ningún tipo de documentación contractual. Las medidas y superficies definitivas surgirán del título de propiedad del inmueble referido. Asimismo los importes, impuestos, tasas, servicios y expensas aquí indicados están sujetos a verificación por parte del potencial comprador. El valor del inmueble indicado en el presente puede ser modificado sin previo aviso. Operación supeditadas que el propietario cumplimente con la R.G N 2371/07.",,,,12 x 35,,Barrio Félix U. Camet,,,,,,,,,,,
"LOTES TOTALMENTE EN BATAN EN EL NUEVO BARRIO RESIDENCIAL BATAN VALLE DE LOS ALVAREZ (NO ES BARRIO PRIVADO) y POSESION DE LOS LOTES CON ESCRITURA EN 30 DIAS APROXIMADAMENTE OPORTUNIDAD DE INVERTIR EN UN GRAN NEGOCIO EL CUAL ESTA DIVIDIDO EN TRES ETAPAS Y COMO LANZAMIENTO DEL BARRIO SE ESTAN LIQUIDANDO LOTES A MUY BAJO COSTO TODOS CON LOS PAPELES EN REGLA Y CON AVAL DE PRESTIGIOSAS EMPRESAS COMO PALMAR ,COOPERATIVA DE BATAN,VIVERO GUARDIA Y SHERWOOD SA LOS LOTES VAN DESDE LOS $ 2.700.00 SEGUN UBICACION Y M2 QUE VANDESDE LOS 319 M2 A 409 M2 SERVICIOS DE GAS NATURAL, AGUA CORRIENTE, LUZ CON TENDIDO ELECTRICO SUBTERRANEO CON LUCES LED Y FIBRA OPTICA POSIBILIDAD DE HACER ANTICIPO Y CUOTAS ACEPTA PERMUTAS LAS OBRAS YA VAN ADELANTADAS Y PUEDE VISTAR EL BARRIO CUANDO QUIERA SE DEJAN FOTOS DE LOS AVANCES DE OBRA PARA RESERVAR Y VER QUE LOTES SIGUEN DISPONIBLE NO DUDES EN LLAMARNOS NO DEJES PASAR ESTA OPORTUNIDAD INFORMES 223 5860000 FLUXA NEGOCIOS INMOBILIARIOS",,,,,,BARRIO SE ESTAN LIQUIDANDO,,,True,,,,,,True,,
